txid,vout_index,output_address,value_rvn,script_type,asset_name,asset_amount,asset_type
01881a91057e413050b24396318656a1a60aa45307eee7711458552d5ba903f1,1,RFAAg9QCXJHqQmnGbWQueUq5koxDDqDKMF,994.01604000,pubkeyhash,,,
0189bc3c3de4f4cd25d71a0b60f6b56c361700df27be49e65b983f6bf7058fac,0,,0.00000000,nulldata,,,
0189bc3c3de4f4cd25d71a0b60f6b56c361700df27be49e65b983f6bf7058fac,1,RUbshq1HBeD3bSDVo9HmVu19jYQA14QJ9P,989.74647000,pubkeyhash,,,
01a89b591347cb63ad6a1dc842cd3294933c92f970907b9c02cdcff30a7c9275,0,,0.00000000,nulldata,,,
01a89b591347cb63ad6a1dc842cd3294933c92f970907b9c02cdcff30a7c9275,1,RBvkpgxCYPyEShXeb52awwdysTHsMCiFCB,991.30311000,pubkeyhash,,,
01e8c37fa64174e4ca594c4e3a7a56fddd3cb5f29066172783f0d4d5903cdce5,0,,0.00000000,nulldata,,,
01e8c37fa64174e4ca594c4e3a7a56fddd3cb5f29066172783f0d4d5903cdce5,1,RPBCx1RzCDRBRA1q2vwYeLPmYcdC96NVwa,994.62812000,pubkeyhash,,,
021565ddec9aa870f549009f7b5d055b546c51c0ed4f2850dc5921f88b60992d,0,,0.00000000,nulldata,,,
021565ddec9aa870f549009f7b5d055b546c51c0ed4f2850dc5921f88b60992d,1,RU4V3sGGTkuQia5vDtirsRDGxtce1HyvmF,993.51648000,pubkeyhash,,,
023c646e94f809b6b8f4cb2ca767917fffac37738f2009b5de48c3435c1745d9,0,RMXt7PVNZ5KjQidYg6oLrRdwbYXFeyvDnT,34.00527540,pubkeyhash,,,
023c646e94f809b6b8f4cb2ca767917fffac37738f2009b5de48c3435c1745d9,1,RX1r2eyM1UW7y2xHcrTejDfyCUk1yBmz4i,306.13947717,pubkeyhash,,,
023ee7e6b9204460982f58283b8147af28cc290b5a9b74ab0fb670a0d3fd187f,0,RSgkswtRQ5ezr2nqLXinfdotHxJEh6Jk8W,34.04138321,pubkeyhash,,,
023ee7e6b9204460982f58283b8147af28cc290b5a9b74ab0fb670a0d3fd187f,1,RX1r2eyM1UW7y2xHcrTejDfyCUk1yBmz4i,306.46538985,pubkeyhash,,,
026509ac629c7cb0d57606b4c95424a7136b8494c12394387cc098496d5df98e,0,,0.00000000,nulldata,,,
026509ac629c7cb0d57606b4c95424a7136b8494c12394387cc098496d5df98e,1,RNEAy3M1tcrzUVSEWHStRG9SKSCxXt3UWa,993.52476000,pubkeyhash,,,
027c761c7691efe219aa47adae4a544e09a251adee08293a2deb9ada5ed0f269,0,,0.00000000,nulldata,,,
027c761c7691efe219aa47adae4a544e09a251adee08293a2deb9ada5ed0f269,1,RAgGkXhkC8C6AFb9CbZbNu3PkqYrBUcSFq,995.24296000,pubkeyhash,,,
029aa7edf17caec11a626ed5da04e24930390c5e49701a10eef644212abfc355,0,,0.00000000,nulldata,,,
029aa7edf17caec11a626ed5da04e24930390c5e49701a10eef644212abfc355,1,RE5CJjDFdNEVnbL1TkewZWkDokzxaLXPpW,994.87376000,pubkeyhash,,,
02a86c69415d0a687a797c0e26d2fc9e08f3f30f8929742ad60f3f34b0ed662d,0,,0.00000000,nulldata,,,
02a86c69415d0a687a797c0e26d2fc9e08f3f30f8929742ad60f3f34b0ed662d,1,RSjVGCkBdEfrknQmUsBBtNnV4yUGTpDoJS,991.83303000,pubkeyhash,,,
02c12bac899df35c63b9e41f58cfce9aced87720c02baffaf3bdef4c4ad55131,0,,0.00000000,nulldata,,,
